,Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,text
77,78,Everytime We Touch - Radio Edit,Cascada,bubblegum dance,2011,142,98,64,-5,37,49,199,0,6,64,"t-t-t-t-turn upt-t-t-t-turn up the basst-t-t-t-turn up the bassi still hear your voice when you sleep next to mei still feel your touch in my dream (in my dream)forgive me my weakness, but i don't know whywithout you, it's hard to survive'cause every time we touch, i get this feelingand every time we kiss, i swear i could flycan't you feel my heart beat fast? i want this to lastneed you by my side'cause every time we touch, i feel the staticand every time we kiss, i reach for the skycan't you hear my heart beat so? i can't let you gowant you in my lifet-t-t-t-turn up the basst-t-t-t-turn up the bassyour arms are my castle, your heart is my skythey wipe away tears that i cry (that i cry)the good and the bad times, we've been through them allyou make me rise when i fall'cause every time we touch, i get this feelingand every time we kiss, i swear i could flycan't you feel my heart beat fast? i want this to lastneed you by my side'cause every time we touch, i feel the staticand every time we kiss, i reach for the skycan't you hear my heart beat so? i can't let you gowant you in my life'cause every time we touch, i get this feelingand every time we kiss, i swear i could flycan't you feel my heart beat fast? i want this to lastneed you by my side"
78,79,Lean Back,Terror Squad,bronx hip hop,2004,127,92,80,-3,7,70,247,11,47,64,"owyeah, my niggas, aha-hathrow your hands in the air right now, manfeel this shit right here, scott storch, niggayeah, khaled, i see you nigga, showbiz, born lorduh, yeah, uh, yoi don't give a fuck about your faults or mishappensnigga, we from the bronx, new york, shit happenskids clappin', love to spark the placehalf the niggas in the squad got a scar on their faceit's a cold world and this is icehalf a mil' for the charm, nigga, this is lifegot the phantom in front of the building, trinity aveten years been legit, they still figure me badas a youngin, was too much to cope withwhy you think, motherfuckers nicknamed me cook coke shit?should've been called armed robberyextortion, or maybe grand larcenyi did it all, i put the pieces to the puzzlejust as long, i knew me and my peoples was gon' bubblecame out the gate on some flo-jo shitfat nigga with the shotty was the logo, kidi said my niggas don't dancewe just pull up our pantsand do the rockaway (throw your drinks in the air, can you hear me?)now lean back, lean back (you feelin' nice as fuck, throw your hands in the air)lean back, lean back (come on)i said my niggas don't dancewe just pull up our pants and do the rockaway (woo, uh, come on, can you hear me?)now lean back, lean back (uh-huh, that's right)lean back, lean back (uh-huh, come on, yeah)r to the e-zy, m to the wizz-ymy arms stay breezy, the don stay flizzygot a date at 8, i'm in the 7-4-fizziveand i just bought a bike so i can ride 'til i diewith a matchin' jacket, 'bout to cop me a mansionmy niggas in the club, but you know they not dancin'we gangsta, and gangstas don't dance, we boogieso never mind how we got in here with burners and hoodieslisten, we don't pay admission and the bouncers don't check usand we walk around the metal detectorsand there really ain't a need for a v.i.p. sectionin the middle of the dance floor reckless, check itsaid he liked my necklace, started relaxin'now that's what the fuck i call a chain reactionsee, money ain't a thang, nigga, we still the same niggasflows just changed, now we 'bout to change the game, niggai said my niggas don't dancewe just pull up our pantsand do the rockaway (throw your drinks in the air, can you hear me?)now lean back, lean back (you feelin' nice as fuck, throw your hands in the air)lean back, lean back (come on)i said my niggas don't dancewe just pull up our pants and do the rockaway (woo, uh, come on, can you hear me?)now lean back, lean back (uh-huh, that's right)lean back, lean back (uh-huh, come on)now we living better now, coogi sweater nowand that g4 can fly through any weather nowsee, niggas get tight when you worth some millionsthis is why i sport the chinchilla, to hurt they feelingsyou can find joe crack at all type of shitout in vegas front row to all the fights and shitif 5-0 boy come then they'd proudly squeal'cause half these rappers they blow like derek forealif you cross the line, damn right, i'm gon' hurt youthese faggot niggas even made gang signs commercialeven lil' bow wow throwin' it upb2k crip walkin' like, ""that's what's up!""kay keep tellin' me to speak about the ruckermatter of fact, i don't wanna speak about the ruckernot even pee wee kirkland could imagine thismy niggas didn't have to play to win the championshipniggas don't dancewe just pull up our pantsand do the rockaway (throw your drinks in the air, can you hear me?)now lean back, lean back (you feelin' nice as fuck, throw your hands in the air)lean back, lean back (come on)i said my niggas don't dancewe just pull up our pants and do the rockaway (woo, uh, come on, can you hear me?)now lean back, lean back (uh-huh, that's right)lean back, lean back (uh-huh, come on)yeah (can you hear me?)bronx, bx borough, terror squad, uhbig pun forever, tone montana forever, uh (can you hear me?)yeah, streets is ours, come onnah, man, it ain't never gon' stopserge, raul, jb fat, ayy, come on"
79,80,TiK ToK,Kesha,dance pop,2014,120,67,75,-7,28,63,200,6,12,63,"wake up in the morning feelin' like p. diddy (hey. what up, girl?)grab my glasses, i'm out the door, i'm gonna hit this city (let's go)before i leave, brush my teeth with a bottle of jack'cause when i leave for the night, i ain't coming backi'm talkin' pedicure on our toes, toestryin' on all our clothes, clothesboys blowin' up our phones, phonesdrop-toppin', playin' our favorite cdspullin' up to the partiestryna get a little bit tipsydon't stop, make it pop, dj, blow my speakers uptonight, i'ma fight 'til we see the sunlighttick tock on the clock, but the party don't stop, nooh, whoa, whoa, oh, oh, whoa, whoa, ohdon't stop, make it pop, dj, blow my speakers uptonight, i'ma fight 'til we see the sunlighttick tock on the clock, but the party don't stop, nooh, whoa, whoa, oh, oh, whoa, whoa, ohain't got a care in the world, but got plenty of beerain't got no money in my pocket, but i'm already hereand now the dudes are linin' up, 'cause they hear we got swaggerbut we kick 'em to the curb unless they look like mick jaggeri'm talkin' 'bout everybody gettin' crunk, crunkboys tryna touch my junk, junkgonna smack him if he gettin' too drunk, drunkno-now we go until they kick us out, out or the police shut us down, downpolice shut us down, down, po-po shut us downdon't stop, make it pop, dj, blow my speakers uptonight, i'ma fight 'til we see the sunlighttick tock on the clock, but the party don't stop, nooh, whoa, whoa, oh, oh, whoa, whoa, ohdon't stop, make it pop, dj, blow my speakers uptonight, i'ma fight 'til we see the sunlighttick tock on the clock, but the party don't stop, nooh, whoa, whoa, oh, oh, whoa, whoa, oh(dj) you build me up, you break me downmy heart, it pounds, yeah, you got mewith my hands up, you got me nowyou got that sound, yeah, you got me(dj) you build me up, you break me downmy heart, it pounds, yeah, you got mewith my hands up, put your hands upput your hands upnow, the party don't start 'til i walk indon't stop, make it pop, dj, blow my speakers uptonight, i'ma fight 'til we see the sunlighttick tock on the clock, but the party don't stop, nooh, whoa, whoa, oh, oh, whoa, whoa, ohdon't stop, make it pop, dj, blow my speakers uptonight, i'ma fight 'til we see the sunlighttick tock on the clock, but the party don't stop, nooh, whoa, whoa, oh, oh, whoa, whoa, oh"
80,81,All Rise,Blue,boy band,2001,98,74,72,-3,17,93,224,12,3,63,"yuh, yuhyuh, yuhyour honour pleasegotta believe what i saywhat i will tellhappened just the other dayi must confess'cause i've had about enoughi need your helpgotta make this here thing stopbaby i swear i'll tell the truthabout all the things you used to do (c'mon)and if you thought you had me fooledi'm telling you now, objection overruled, oh babyone for the money and the free ridesit's two for the lie that you deniedall rise, all rise (c'mon)three for the calls you've been makingit's four all the times you've been fakingall rise, i'm gonna tell it to your faceall rise, i rest my caseyou're on the standwith your back against the wallnowhere to runand nobody you can call, oh noi just can't waitnow the case is open wideyou'll try to praybut the jury will decidebaby i swear i'll tell the truth (uh-huh)about all the things you used to doand if you thought you had me fooled (c'mon)i'm telling you objection overruled, oh babyone for the money and the free ridesit's two for the lie that you deniedall rise, all rise (oh, all rise)three for the calls you've been makingit's four all the times you've been faking (oh)all rise, i'm gonna tell it to your faceall rise, i rest my case (uh-huh)so step back 'cause you don't know this cati know deep down that you don't want me to reacti'll lay low, leavin' all my options openthe decision of the jury has not been spokenstep in my house, you find that your stuff is gonebut in reality, to whom does the stuff belong?i bring you into court to preach my orderand you know that you overstepped the border, uh-huhone for the money and the free ridesit's two for the lie that you deniedall rise, all rise (c'mon)three for the calls you've been makingit's four all the times you've been fakingall rise, all rise (uh-huh)one for the money and the free rides (what you say?)it's two for the lie that you denied (can't you pay)all rise, all rise (for what you've done?)three for the calls you've been making (what you say?)it's four all the times you've been faking (can't you pay)all rise, all rise (for what you've done?)(where've you gone?) c'monone for the money and the free ridesit's two for the lie that you deniedall rise, all rise (oh)three for the calls you've been makingit's four all the times you've been faking (i said)all rise, i'm gonna tell it to your faceall rise, i rest my case (uh-huh)"
81,82,Fergalicious,Fergie,dance pop,2006,129,58,91,-8,13,83,292,6,32,63,"listen up, y'all, 'cause this is itthe beat that i'm bangin' is deliciousfergalicious, definition make them boys go locothey want my treasure, so they get their pleasures from my photoyou could see me, you can't squeeze mei ain't easy, i ain't sleazyi got reasons why i tease 'emboys just come and go like seasonsfergalicious (so delicious)but i ain't promiscuousand if you was suspiciousall that shit is fictitiousi blow kisses (mwah)that puts them boys on rock, rockand they be lining down the blockjust to watch what i got (four, tres, two, uno)it's so delicious (it's hot, hot)it's so delicious (i put them boys on rock, rock)it's so delicious (they wanna taste of what i got)i'm fergalicious (t-t-t-t-t-tasty, tasty)fergalicious def-, fergalicious def-, fergalicious def-(def-, def-, def-, def-, def-, def-, def-, def-, def-, def-)fergalicious definition make them boys go crazythey always claim they know mecomin' to me, call me stacy (hey, stacy)i'm the f to the e-r-g, the i, the e, andcan't no other lady put it down like mei'm fergalicious (so delicious)my body stay viciousi be up in the gym just working on my fitnesshe's my witness (ooh-wee)i put yo' boy on rock, rockand he be lining down the blockjust to watch what i got (four, tres, two, uno)it's so delicious (it's hot, hot)it's so delicious (i put them boys on rock, rock)it's so delicious (they wanna taste of what i got)i'm fergalicious (hold, hold, hold, hold, hold up, check it out)baby, baby, babyif you really want mehoney, get some patiencemaybe then you'll get a tasteof my tasty, tastyi'll be laced with laceyit's so tasty, tastyit'll make you crazyt to the a, to the s-t-e-y, girl, you tastyt to the a, to the s-t-e-y, girl, you tastyd to the e, to the l-i-c-i-o-u-sd to the e, to the, to the, to the, hit it, fergieall the time i turn around brothas gather 'roundalways looking at me up and down looking at my (uh)i just wanna say it nowi ain't tryin' to round up drama, little mamai don't wanna take your manand i know i'm comin' off just a little bit conceitedand i keep on repeating how the boys wanna eat itbut i'm tryin' to tell that i can't be treated like clientele'cause they say she delicious (so delicious)but i ain't promiscuousand if you was suspiciousall that shit is fictitiousi blow kisses (mwah)that puts them boys on rock, rockand they be lining down the blockjust to watch what i got (got, got, got, got)four, tres, two, unomy body stay viciousi be up in the gym just working on my fitnesshe's my witness (ooh-wee)i put yo' boy on rock, rockand he be lining down the blockjust to watch what i got (four, tres, two, uno)it's so delicious (aye, aye, aye, aye)it's so delicious (aye, aye, aye, aye)it's so delicious (aye, aye, aye, aye)i'm fergalicious, (t-t-t-t-t-tasty, tasty)it's so delicious (aye, aye, aye, aye)it's so delicious (aye, aye, aye, aye)it's so delicious (aye, aye, aye, aye)i'm fergalicious, (t-t-t-t-t, t-t-t-t, t-t-t-t)(aye, aye, aye, aye)t to the a, to the s-t-e-y, girl, you tastyt to the a, to the s-t-e-y, girl, you tastyt to the a, to the s-t-e-y, girl, you tastyt to the a, to the, to the, to the, to the (four, tres, two, uno)to the d to the e, to the l-i-c-i-o-u-sto the d to the e, to the l-i-c-i-o-u-sto the d to the e, to the l-i-c-i-o-u-sto the d to the e to the, to the, to the, to the, to the, to the(four, tres, two, uno)t to the a, to the s-t-e-y, girl, you tastyt to the a, to the s-t-e-y, girl, you tastyt to the a, to the s-t-e-y, girl, you tastyt to the a, to the, to the, to the, to the (four, tres, two, uno)to the d to the e, to the l-i-c-i-o-u-sto the d to the e, to the l-i-c-i-o-u-sto the d to the e, to the l-i-c-i-o-u-sto the d to the e to the, to the, to the, to the, to the, to the"
82,83,Something,Lasgo,belgian dance,2001,140,98,64,-7,11,38,221,3,4,63,"i don't wanna say i'm sorry'cause i know there's nothing wrongdon't be afraid, there's no need to worry'cause my feelings for you are still stronghold me in your armsand never let me gohold me in your arms'cause i need you soi can see it in your eyesthere is somethingsomething you wanna tell mei see it in your eyesthere is somethingthat you hide from meis there a reason why?there is somethingsomething you wanna tell mei see it in your eyesthere is somethingthat you hide from mei don't wanna say i'm sorry'cause i know there's nothing wrongdon't be afraid, there's no need to worry'cause my feelings for you are still stronghold me in your armshold me in your armsand never let me gohold me in your arms'cause i need you soi can see it in your eyesthere is somethingsomething you wanna tell mei see it in your eyesthere is somethingthat you hide from meis there a reason why?there is somethingsomething you wanna tell mei see it in your eyesthere is somethingthat you hide from me"
83,84,When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,2009,130,86,66,-5,20,50,189,1,3,63,"it's complicatedit always isthat's just the way it goesfeels like the wait it is so long for thisi wonder if it showshead under waternow i can breathit never felt so good'cause i can feel it coming over mei wouldn't stop it if i couldwhen love takes over (yeah-ah-eah)you know you can't denywhen love takes over (yeah-ah-eah)'cause something's here tonightgive me a reasoni gotta knowdo you feel it too?can't you see me here all over aloneand this time i blame youlooking out for you to hold my handit feels like i could fallnow love me right, like i know you canwe could lose it allwhen love takes over (yeah-ah-eah)you know you can't denywhen love takes over (yeah-ah-eah)'cause something's here tonighttonight, tonight, tonight, tonighttonight, tonight, tonight, tonighttonight, tonight, tonight, tonighttonight, tonight, tonight, tonightand i-i-i-i-i'll be loving you all the time, is true'cause i-i-i-i wanna make it right, with youwhen love takes overwhen love takes overwhen love takes overwhen love takes overwhen love takes overwhen love takes overwhen love takes overover,over, over, overover, over, over,over, over, over...when love takes over (yeah-ah-eah)you know you can't denywhen love takes over (yeah-ah-eah)'cause something's here tonight"
84,85,Anyone Of Us (Stupid Mistake),Gareth Gates,europop,2002,107,72,70,-6,8,65,228,28,3,61,"i've been letting you down, downgirl, i know i've been such a foolgiving in to temptationi should've played it coolthe situation got out of handi hope you understandit can happen to anyone of usanyone you think ofanyone can fallanyone can hurt someone they lovehearts will break'cause i made a stupid mistakeit can happen to anyone of ussay you will forgive meanyone can failsay you will believe mei can't take, my heart will break'cause i made a stupid mistakea stupid mistakeshe was kind of excitinga little crazy, i should've knownshe must have altered my senses'cause i offered to walk her homethe situation got out of handi hope you understandit can happen to anyone of usanyone you think ofanyone can fallanyone can hurt someone they lovehearts will break'cause i made a stupid mistakeit can happen to anyone of ussay you will forgive meanyone can failsay you will believe mei can't take, my heart will break'cause i made a stupid mistakea stupid mistakea stupid mistakeshe means nothing to menothing to mei swear every word is truedon't wanna lose youthe situation got out of handi hope you understandit can happen to anyone of usanyone you think ofanyone can fallanyone can hurt someone they loveooh, their hearts will break'cause i made a stupid mistakeit can happen to anyone of ussay you will forgive meanyone can failsay you will believe mei can't take, my heart will break'cause i made a stupid mistakeanyone can fallanyone can hurt someone they loveooh, their hearts will break'cause i made a stupid mistakea stupid mistake"
85,86,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,2006,100,42,62,-7,12,29,203,29,2,61,"drew looks at me, i fake a smile so he won't seethat i want and i'm needing everything that we should bei'll bet she's beautiful, that girl he talks aboutand she's got everything that i have to live withoutdrew talks to me, i laugh 'cause it's just so funnybut i can't even see anyone when he's with mehe says he's so in love, he's finally got it righti wonder if he knows he's all i think about at nighthe's the reason for the teardrops on my guitarthe only thing that keeps me wishing on a wishing starhe's the song in the car i keep singing, don't know why i dodrew walks by me, can he tell that i can't breathe?and there he goes, so perfectlythe kind of flawless i wish i could beshe'd better hold him tight, give him all her lovelook in those beautiful eyes and know she's lucky 'causehe's the reason for the teardrops on my guitarthe only thing that keeps me wishing on a wishing starhe's the song in the car i keep singing, don't know why i doso i drive home alone, as i turn out the lighti'll put his picture down and maybe get some sleep tonight'cause he's the reason for the teardrops on my guitarthe only one who's got enough of me to break my hearthe's the song in the car i keep singing, don't know why i dohe's the time taken up, but there's never enoughand he's all that i need to fall intodrew looks at me, i fake a smile so he won't see"
86,87,Thank God I Found You,Mariah Carey,dance pop,1999,130,53,47,-6,11,15,257,59,3,61,"i would give up everythingbefore i'd separate myself from youafter so much sufferingi've finally found a man that's truei was all by myself for the longest timeso cold insideand the hurt from the heart, it would not subsidei felt like dying until you saved my lifethank god, i found you, i was lost without youmy every wish and every dream somehow became realitywhen you brought the sunlight, completed my whole lifei'm overwhelmed with gratitude 'cause baby, i'm so thankful i found youoh, yeah, oh, yeahi would give you everythingthere's nothing in this world i wouldn't doto ensure your happinessi'll cherish every part of you'cause without you beside me, i can't survivei don't wanna tryif you're keeping me warm each and every nighti'll be all right 'cause i need you in my lifethank god, i found you (i'm begging you)i was lost without you (so lost without you)my every wish and every dream (every dream, every dream)somehow became realitywhen you brought the sunlight (brought the sunlight)completed my whole lifei'm overwhelmed with gratitude 'cause baby, i'm so thankful i found youand i was so desolate before you came to melooking back, i guess it shows that we were destined to shineafter the rain to appreciate, and care for what we haveand i'd go through it all over again to be able to feel this waythank god, i found youi was lost without you (lost without you, baby)my every wish and every dream somehow became realitywhen you brought the sunlightcompleted my whole life (whole life)i'm overwhelmed with gratitude, sweet baby, i'm so thankful i found youthank god i found you, i was lost without youi'm overwhelmed with gratitude, my baby, i'm so thankful i found you, youi'm overwhelmed with gratitude, my baby, i'm so thankful i found you"
87,88,Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,2009,130,30,96,-6,8,80,312,2,13,60,"yes, i can see her'cause every girl in here wanna be heroh, she's a divai feel the same and i wanna meet herthey say she low-downit's just a rumor and i don't believe 'emthey say she needs to slow downthe baddest thing around townshe's nothing like a girl you've ever seen beforenothing you can compare to your neighborhood hoi'm tryna find the words to describe this girl without being disrespectfulthe way that booty movin', i can't take no morehad to stop what i'm doin' so i can pull up closei'm tryna find the words to describe this girl without being disrespectfuldamn girldamn, you's a sexy bitcha sexy bitchdamn, you's a sexy bitchdamn girldamn, you's a sexy bitcha sexy bitchdamn, you's a sexy bitchdamn girlyes, i can see her'cause every girl in here wanna be heroh, she's a divai feel the same and i wanna meet herthey say she low-downit's just a rumor and i don't believe 'emthey say she needs to slow downthe baddest thing around townshe's nothing like a girl you've ever seen beforenothing you can compare to your neighborhood hoi'm tryna find the words to describe this girl without being disrespectfulthe way that booty movin', i can't take no morehad to stop what i'm doin' so i can pull up closei'm tryna find the words to describe this girl without being disrespectfuldamn girldamn, you's a sexy bitcha sexy bitchdamn, you's a sexy bitchdamn girldamn, you's a sexy bitcha sexy bitchdamn, you's a sexy bitchdamn girldamn, you's a sexy bitcha sexy bitchdamn, you's a sexy bitchdamn girldamn, you's a sexy bitcha sexy bitchdamn, you's a sexy bitchdamn you's a sexy bitch"
88,89,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,75,-5,69,65,213,15,6,60,"if i could write you a song to make you fall in lovei would already have you up under my armi used up all my tricks, i hope that you like thisbut, you probably won't, you think you're cooler than meyou got designer shades just to hide your faceand you wear 'em around like you're cooler than meand you never say hey, or remember my nameand it's probably 'cause you think you're cooler than meyou got your high brow, shoes on your feetand you wear 'em around like it ain't shitbut you don't know the way that you lookwhen your steps make that much noiseshh, i got you all figured outyou need everyone's eyes just to feel seenbehind your make up nobody knows who you even arewho do you think that you areif i could write you a song to make you fall in lovei would already have you up under my armi used up all-of my tricks, i hope that you like thisbut, you probably won't, you think you're cooler than meyou got designer shades just to hide your faceand you wear 'em around like you're cooler than meand you never say hey, or remember my nameand it's probably 'cause you think you're cooler than meyou got your high brow, switchin' your walkand you don't even look when you pass bybut you don't know the way that you lookwhen your steps make that much noiseshh, i got you all figured outyou need everyone's eyes just to feel seenbehind your make up nobody knows who you even arewho do you think that you are'cause it's your scene (it's your scene)you got no doubtbut-we all seeyou got your head in the cloudsif i could write you a song to make you fall in lovei would already have you up under my armi used up all-of my tricks, i hope that you like thisbut, you probably won't, you think you're cooler than meyou got designer shades just to hide your faceand you wear 'em around like you're cooler than meand you never say hey, or remember my nameand it's probably 'cause you think you're cooler than me"
89,90,Bump Bump Bump,B2K,boy band,2003,96,68,84,-6,5,89,283,10,21,60,"yeahwe sendin' this one out to all the ladies all over the world(all the ladies all over the world)all my sexy mamascome on, come on, and come on nowas we proceed, to give you what you needyou know i like it when your body goes(bump, bump, bump)bad boy, b2kyo, o talk to 'em playa (talk to 'em)i like your little sexy stylelove it when you getting wild (i see you)girl, in the club with me(come over here, let me talk to you for a minute)(i gotta tell you something)girl, you need to be in magazineswith a crown on your head 'cause you's a ghetto queenlike bling bling bling (uh, c'mon, you fine girl)the way you shaking that sexy (oh)body shaped like an hour glassbaby, we need to spend some time (yeah, let's do it y'all)i wanna get you to myselfyou and me and nobody elseand do the things we dobaby, there is something that i need from you (come on)baby, turn around and let me see that sexy body gobump, bump, bumpthat is all i wanna seebaby, show me (come on), show mebaby, turn around and let me see that sexy body gobump, bump, bumpthe way you're throwing that thing at mei can't take it, baby (second verse, come on)girl, the way you teasing megonna have to start pleasing mewhile we're on this floor(stop teasing me, baby, i want you)you're ticking it round and roundi love the way you put it downyou're making me scream for more(gimme more, let's go, don't stop, come on)put your two-way next to minebaby, hit me anytimeyou and me behind closed doors (yeah, talk to me now)you about to be my main squeezetake trips, cop shinny things (just me and you)girl, just come with menow mama go 'head do the damn thingbaby, turn around and let me see that sexy body gobump, bump, bumpthat is all i wanna seebaby show me (i like this, come on), show mebaby, turn around and let me see that sexy body gobump, bump, bumpthe way you're throwing that thing at mei can't take it, no, yeahdance for nothing mamiplans to take her by meget on the floor make it bump more, shake it mamilet's ride i'm ya clyde you can be my bonniesee you the type for me, mami, so right for meman she can move itlove when she dance to the musicmake me wanna stand like a pool stickhands is the smoothestjust a simple touch make me lose itgirl, that's enough stop movin'now bump that, i pump thatgirl, bring it to me bump thati wanna that, girl, sing it with me like(da, da-da-da-da-da, da-da-da)(da, da-da-da-da-da, da-da-da)so let's do it again mamiyou and a friend mamimoney ain't a thing, look, what i gotta spend mami?put up ya hands for methat's how you dance for meshake it like you can honeytake it from your man mami, yeahbaby, turn around and let me see that sexy body gobump, bump, bumpthat is all i wanna seebaby show me, show mebaby turn around and let me see that sexy body gobump, bump, bumpthe way you're throwing that thing at mei can't take it, babyyou know i like it when your body goesbump, bump, bumpthat is all i want to seebaby show me, show mebaby turn around and let me see that sexy body gobump, bump, bumpthe way you're throwing that thing at mei can't take it, no, yeahbaby turn around and let me see that sexy body gobump, bump, bump(dave mack you got one now baby, don't stop come on)(i see you chris)you know i like it when your body goesbump, bump, bump(i like this right here)(i like the way y'all ladies doing that thing)(the way y'all do that thing when y'all do that thing)you know i like it when your body goesbump, bump, bump(come on, don't stop, let's go, let's go, come on, let's go)baby, turn around and let me see that sexy body gobump, bump, bump(come on, let's go, come on, let's go)(and another one)you know i like it when your body goesbump, bump, bumpcome on, let's go (it's pandemonium, baby, yeah)come on, let's go"
90,91,Beautiful Girls,Sean Kingston,dance pop,2014,118,64,54,-7,24,75,242,14,9,60,"j.r., sean kingstonyou're way too beautiful girlthat's why it'll never workyou'll have me suicidal, suicidalwhen you say it's overdamn all these beautiful girlsthey only wanna do you dirtthey'll have you suicidal, suicidalwhen they say it's oversee it started at the parkused to chill after darkoh when you took my heartthat's when we fell apart'cause we both thoughtthat love last forever (last forever)they say we too youngto get ourselves sprungoh we didn't carewe made it very clearand they also saidthat we couldn't last together (last together)see it's very definedyou're one of a kindbut you mash up my mindyou haffi get declinedoh lordmy baby is driving me crazyyou're way too beautiful girlthat's why it'll never workyou'll have me suicidal, suicidalwhen you say it's overdamn all these beautiful girlsthey only wanna do you dirtthey'll have you suicidal, suicidalwhen they say it's overit was back in '99watching movies all the timeoh when i went awayfor doing my first crimeand i never thoughtthat we was gonna see each other (see each other)and then i came outmommy moved me down southoh i'm with my girlwho i thought was my worldit came out to bethat she wasn't the girl for me (girl for me)see it's very definedyou're one of a kindbut you mash up my mindyou haffi get declinedoh lordmy baby is driving me crazyyou're way too beautiful girlthat's why it'll never workyou'll have me suicidal, suicidalwhen you say it's overdamn all these beautiful girlsthey only wanna do you dirtthey'll have you suicidal, suicidalwhen they say it's overnow we're fussingand now we're fightingplease tell me whyi am feeling slightedand i don't knowhow to make it better (make it better)you're dating other guysyou're telling me liesoh i can't believewhat i'm seeing with my eyesi'm losing my mindand i don't think it's clever (think it's clever)you're way too beautiful girlthat's why it'll never workyou'll have me suicidal, suicidalwhen you say it's overdamn all these beautiful girlsthey only wanna do you dirtthey'll have you suicidal, suicidal, suicidal, suicidal"
91,92,I Know You Want Me (Calle Ocho),Pitbull,dance pop,2009,127,74,82,-6,24,80,237,1,14,60,"hahait's mr. 305 checkin' in for the remixyou know that 75 street brazil?well, this year gon' be called calle ochohahahaha¿qué bola cata, qué bola omega?and this how we gon' do itdaleone, two, three, fouruno, dos, tres, cuatroi know you want me (want me)you know i want ya (want ya)i know you want meyou know i want ya (want ya)i know you want me (want me)you know i want ya (want ya)i know you want meyou know i want ya (want ya)one, two, three, fouruno, dos, tres, cuatrorumba (sí)ella quiere su rumba (cómo?)rumba (sí)ella quiere si rumba (cómo?)si e' verdad que tú ere' guapayo te voy a poner gozartú tienes la boca grande, dale, ponte a jugar (cómo?)one, two, three, fouruno, dos, tres, cuatrotick to the tock, on my way to the top, huhpit got it locked from goons to the locks, yuhr.i.p., uh, big and pacthat he's not, but damn he's hotlabel flop but pit won't stopgot her in the cockpit playin' with pit's (cómo?)now watch me make a movie like albert hitchcock, haha (enjoy me, woo)i know you want me (want me)you know i want ya (want ya)i know you want meyou know i want ya (want ya)i know you want me (want me)you know i want ya (want ya)i know you want meyou know i want ya (want ya)one, two, three, fouruno, dos, tres, cuatrorumba (sí)ella quiere su rumba (cómo?)rumba (sí)ella quiere si rumba (cómo?)si e' verdad que tú ere' guapayo te voy a poner gozartú tienes la boca grande, dale, ponte a jugar (cómo?)one, two, three, fouruno, dos, tres, cuatromami got an ass like a donkey, with a monkeylook like king kong, welcome to the crib305, that's what it iswith the woman down here are the sh-, they don't play gamesthey off the chain, and they love to do everythingand anything, anythingand they love it gettin' it in, gettin' onall night long (dale)i know you want me (want me)you know i want ya (want ya)i know you want meyou know i want ya (want ya)i know you want me (want me)you know i want ya (want ya)i know you want meyou know i want ya (want ya)one, two, three, fouruno, dos, tres, cuatrorumba (sí)ella quiere si rumba (cómo?)rumba (sí)ella quiere si rumba (cómo?)si es verdad que tu ere guapayo te voy a poner gozartú tienes la boca grande, dale, ponte a jugar (cómo?)one, two, three, fouruno, dos, tres, cuatrobaby, you can get it, if you with it, we can playbaby, i got cribs, i got condos we can stayeven got a king-size mattress we can laybaby, i don't care, i don't care, what they sayi know you want me (want me)you know i want ya (want ya)i know you want meyou know i want ya (want ya)i know you want me (want me)you know i want ya (want ya)i know you want meyou know i want ya (want ya)one, two, three, fouruno, dos, tres, cuatrorumba (sí)ella quiere si rumba (cómo?)rumba (sí)ella quiere si rumba (cómo?)si es verdad que tu ere guapayo te voy a poner gozartú tienes la boca grande, dale, ponte a jugar (cómo?)one, two, three, fouruno, dos, tres, cuatro"
92,93,Leave The World Behind - Radio Edit,Axwell,big room,2009,128,85,53,-8,32,28,162,0,5,58,leave the world behind youpeople can you hear me?there is a message that i'm sending outi've got the answers to all your problemsand tonight i'll be singing it loudjust surrender yourself to the rhythmput your hands up in the skyfeel the energy deep inside your systemand leave this world behindleave the world behind youleave the world behind youyeahleave the world behind youleave the world behind youleave the world behind youleave the world behind youleave the world behind youand leave this world behindleave the world behind youleave the world behind youleave the world behind youleave the world behind youleave the world behind youleave the world behind youand leave this world behind
93,94,DÃ©senchantÃ©e - Radio Edit,Kate Ryan,belgian pop,2008,140,94,52,-5,23,29,221,17,7,57,none
