,Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,text,Emotion
76,77,2U (feat. Justin Bieber),David Guetta,dance pop,2017,145,65,55,-6,23,56,195,22,6,71,"no limit in the skythat i won't fly for ya (for ya, for ya, for ya)no amount of tears in my eyesthat i won't cry for ya (for ya), oh nowith every breath that i takei want you to share that air with methere's no promise that i won't keepi'll climb a mountain, there's none too steepwhen it comes to youthere's no crimelet's take both of our soulsand intertwinewhen it comes to youdon't be blindwatch me speak from my heartwhen it comes to youcomes to youwant you to share that(when it comes to you)cupid ain't a liearrow got your name on it, oh yeahdon't miss out on a loveand regret yourself on it, oh (oh, oh)open up your mind, clear your headain't gotta wake up to an empty bedshare my life, it's yours to keepnow that i give to you all of me, ohwhen it comes to youthere's no crimelet's take both of our soulsand intertwinewhen it comes to youdon't be blindwatch me speak from my heartwhen it comes to youcomes to youwant you to share that(share) when it comes to youwant you to share thatwhen it comes to you (to you)there's no crimelet's take both of our soulsand intertwinewhen it comes to youdon't be blindwatch me speak from my heartwhen it comes to youcomes to you (you, you, you, you, you, you, you, you)",Happy
77,78,Strip That Down (feat. Quavo),Liam Payne,dance pop,2019,106,50,87,-5,8,55,202,20,5,71,"you know, i've been taking some timeand i've been keeping to myself (self)i had my eyes up on the prizeain't watching anybody elsebut your love, it hit me hard, girlyeah, you're bad for my healthi love the cards, that i've been dealtdo you feel the same as well?you know, i used to be in 1d (now i'm out, free)people want me for one thing (that's not me)i'm not changing, the way, that i (used to be)i just wanna have fun (and get rowdy)one coke and bacardi (sippin' lightly)when i walk inside the party (girls on me)f1 type ferrari (6 gear speed)girl, i love it when your body (grinds on me)oh yeahyou know, i love it, when the music's loudbut c'mon, strip that down for me, babynow there's a lot of people in the crowdbut only you can dance with meso put your hands on my bodyand swing that round for me, baby (swing)you know, i love it when the music's loudbut c'mon, strip that down for me (yeah, yeah, yeah, yeah)oh, strip that down, girllove when you hit the ground, girl (yeah, yeah, yeah, yeah)oh, strip that down, girllove, when you hit the groundyou know, that since the day, i met youyeah, you swept me off my feetyou know, that i don't need no moneywhen your love is beside meyeah, you opened up my heartand then you threw away the keygirl, now it's just you and meand you don't care 'bout, where i've beenyou know, i used to be in 1d (now i'm out, free) (free)people want me for one thing (that's not me)i'm not changing, the way that i (used to be)i just wanna have fun (and get rowdy) (ooh)one coke and bacardi (sippin' lightly)when i walk inside the party (girls on me)f1 type ferrari (6 gear speed)girl, i love it when your body (grinds on me)babyyou know, i love it, when the music's loudbut c'mon, strip that down for me, babynow there's a lot of people in the crowdbut only you can dance with meso put your hands on my bodyand swing that round for me, baby (yeah)you know, i love it when the music's loudbut c'mon, strip that down for me (yeah, yeah, yeah, yeah)oh, strip that down, girllove when you hit the ground, girl (yeah, yeah, yeah, yeah) (strip that down)oh, strip that down, girllove, when you hit the ground (yeah, yeah, yeah, yeah)oh, strip that down, girllove when you hit the ground, girl (yeah, yeah, yeah, yeah) (yeah)oh, strip that down, girllove, when you hit the ground (yeah, yeah, yeah, yeah) (oh quavo)she gon' strip it down for a thug, yeah (strip it down)word around town, she got the buzz, yeah (word)five shots in, she in love now (shots)i promise, when we pull up, shut the club down (hey)i took her from her man, don't nobody know (know)if you brought the cl, better drive slow (slow)she know how to make me feel with my eyes closed (skrrt skrrt)anything goes down with the huncho (huncho)you know, i love it, when the music's loudbut c'mon, strip that down for me, babynow there's a lot of people in the crowdbut only you can dance with meso put your hands on my bodyand swing that round for me, babyyou know, i love it when the music's loudbut c'mon, strip that down for me (yeah, yeah, yeah, yeah)yeah, yeah, yeah, yeah, c'mon, strip that down for me(yeah, yeah, yeah, yeah) (ayy)don't say nothing, girl, strip that down for me (strip it down)(yeah, yeah, yeah, yeah)all i want, girl, if you strip that down for me (strip it down)(yeah, yeah, yeah, yeah)you're the one, girl, c'mon, strip that down for me(yeah, yeah, yeah, yeah)",Sad
78,79,Wildest Dreams,Taylor Swift,dance pop,2014,140,66,55,-7,11,47,220,7,7,71,"he said, ""let's get out of this towndrive out of the city, away from the crowds""i thought heaven can't help me nownothing lasts foreverbut this is gonna take me downhe's so tall and handsome as hellhe's so bad, but he does it so welli can see the end as it beginsmy one condition issay you'll remember mestanding in a nice dressstaring at the sunset, babered lips and rosy cheekssay you'll see me againeven if it's just in your wildest dreams, ah-ah, hawildest dreams, ah-ah, hai said, ""no one has to know what we do""his hands are in my hair, his clothes are in my roomand his voice is a familiar soundnothing lasts foreverbut this is getting good nowhe's so tall and handsome as hellhe's so bad, but he does it so welland when we've had our very last kissmy last request issay you'll remember mestanding in a nice dressstaring at the sunset, babered lips and rosy cheekssay you'll see me againeven if it's just in your wildest dreams, ah-ah, ha (ha-ah, ha)wildest dreams, ah-ah, hayou'll see me in hindsighttangled up with you all nightburning it downsomeday when you leave mei bet these memoriesfollow you aroundyou'll see me in hindsighttangled up with you all nightburning (burning) it (it) down (down)someday when you leave mei bet these memoriesfollow (follow) you (you) around (follow you around)say you'll remember mestanding in a nice dressstaring at the sunset, babered lips and rosy cheekssay you'll see me againeven if it's just pretendsay you'll remember mestanding in a nice dressstaring at the sunset, babered lips and rosy cheekssay you'll see me againeven if it's just (pretend, just pretend) in your wildest dreams, ah-ah, ha (ah)in your wildest dreams, ah-ah, haeven if it's just stayed in your wildest dreams, ah-ah, hain your wildest dreams, ah-ah, ha",Happy
79,80,Sun Is Shining,Axwell /\ Ingrosso,big room,2017,132,76,47,-3,7,38,255,9,5,71,"a simple band of goldwrapped around my soulhard forgiving, hard forgetfaith is in our handscastles made of sandno more guessing, no regretsthen you came my way on a winter's dayshouted loudly come out and playcan't you tell i got news for yousun is shining and so are youand we're gonna be alrightdry your tears and hold tightcan't you tell i got news for yousun is shining and so are youand we're gonna be alrightdry your tears and hold tightcan't you tell i got news for yousun is shining and so are youdiamonds to behold, waiting to unfoldbite the bullet, bite your tonguelove beyond beliefraid the seven seascome uneven, come undonethen you came my way on a winter's dayshouted loudly come out and playcan't you tell i got news for yousun is shining and so are youand we're gonna be alrightdry your tears and hold tightcan't you tell i got news for yousun is shining and so are yousun is shining and so are you [6x]can't you tell i got news for yousun is shining and so are youand we're gonna be alrightdry your tears and hold tightcan't you tell i got news for yousun is shining and so are you",Sad
80,81,Solo Dance,Martin Jensen,big room,2016,115,85,75,-2,20,40,175,5,5,70,"in the faded light you touch my bodyi can feel your hands on my skinthink you're got me right where you want mebut you're just in my wayi came the party on my owndon't need nobody in my zonei get down to the beat, i lose controlyeah-oh, i go so-o-o, so-o-lobut you can cool it downnot here to fool aroundjust wanna dance, dance, dancedance, dance, dancei know you want mebut i don't care babyjust wanna dance, dance, dancedance, dance, dancedance, dance, dance(dance, dance, dance)in the shade of light you're moving closerwe're on our way to cross the linethink you got me right where you want mebut it's all in your mindi came the party on my owndon't need nobody in my zonei get down to the beat, i lose controlyeah-oh, i go so-o-o, so-o-lobut you can cool it downnot here to fool aroundjust wanna dance, dance, dancedance, dance, dancei know you want mebut i don't care babyjust wanna dance, dance, dancedance, dance, dancedance, dance, dance(dance, dance, dance)",Sad
81,82,Alone,Alan Walker,electro house,2016,97,93,68,-3,12,16,161,19,5,70,"lost in your mind, i wanna knowam i losin' my mind?never let me goif this night is not forever, at least we are togetheri know i'm not alonei know i'm not aloneanywhere, wheneverapart but still togetheri know i'm not alonei know i'm not alonei know i'm not alonei know i'm not aloneunconscious mind, l'm wide awakewanna feel one last timetake my pain awayif this night is not forever, at least we are togetheri know i'm not alonei know i'm not aloneanywhere, wheneverapart but still togetheri know i'm not alonei know i'm not alonei know i'm not alonei know i'm not alonei'm not alonei'm not alonei'm not alone (i know i'm not alone)i'm not alonei'm not alonei'm not alone (i know i'm not alone)",Sad
82,83,You Don't Know Me (feat. RAYE),Jax Jones,dance pop,2019,124,67,88,-6,32,67,213,16,14,70,"ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahi am not your homie, not your ho—ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahyou don't know mewhat you-what you gon' do?oh, yeah, time is money so don't fuck with minesee i'm out with my girls, i'ma have a good timestep back with your chit-chat, killin' my vibeoh, oh, woah, oh, ahsee, i can't get too much of a good thing, mmms'why me a dressed up in the finest things, woahplease hold your tongue, don't say a damn thingsee your iphone camera flashin'please step back, it's my style you're crampin'""you here for long?"" ""oh no, i'm just passin'""""do you wanna drink?"" ""nah, thanks for askin'""ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahi am not your homie, not your ho—ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahyou don't know me, fuck yeahooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahi am not your homie, not your ho—ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahyou don't know me, fuck yeahi mean, we could throw shapes togetherbut it doesn't mean you're in my circle, yeahcruise through life and i'm feelin' on trackif you can't keep up, then you better fall back, uh'cause money look better when i see it all stacked upooh-ooh-ooh-oohsee, i can't get too much of a good thing, mmms'why me a dressed up in the finest things, woahplease hold your tongue, don't say a damn thingsee your iphone camera flashin'please step back, it's my style you're crampin'""you here for long?"" ""oh no, i'm just passin'""""do you wanna drink?"" ""nah, thanks for askin'""ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahi am not your homie, not your ho—ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahyou don't know me, fuck yeahooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahi am not your homie, not your ho—ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahyou don't know me, fuck yeahcome 'round here, just know thoughwon't get what you want, what you want, what you want, wanttell you what you don't knowi get what i want, what i want, what i want, wantsee your iphone camera flashin'please step back, it's my style you're crampin'""you here for long?"" ""oh no, i'm just passin'""""do you wanna drink?"" ""nah, thanks for askin'""ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahi am not your homie, not your ho—ooh, na-na, yeahdon't act like you know me, like you know me, na-na, yeahyou don't know me, fuck yeahyou don't know me, fuck yeah",Sad
83,84,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2012,146,93,63,-4,10,88,258,3,8,70,"hey, hey, heygood to see youcome on, dude, let's goyeah! let's go!ha-ha-ha-ha alrightalright, okayuh, alright, okayalright, okayreturn of the mackget 'em, what it is, what it does, what it is, what it isn'tlooking for a better way to get up out of bedinstead of getting on the internetand checking on who hit me, get upthrift shop, pimp-strut walkin'little bit of humble, little bit of cautioussomewhere between like rocky and cosbysweater game, nope-nope, y'all can't copyyeah, bad, moonwalking, this here is our partymy posse's been on broadway, and we did it our waygrown music, i shed my skin and put my bonesinto everything i record to it and yet i'm onlet that stage light go and shine on downgot that bob barker suit game and plinko in my stylemoney, stay on my craft and stick around for those poundsbut i do that to pass the torch and put on for my towntrust me, on my i-n-d-e-p-e-n-d-e-n-t shit, hustlin'chasing dreams since i was 14with the four-track, bussin'halfway cross that city with the backpackfat cat, crushing labels out here, nah, they can't tell me nothin'we give that to the people, spread it across the countrylabels out here, nah, they can't tell me nothin'we give it to the people, spread it across the countrycan we go back? this is the momenttonight is the night, we'll fight 'til it's overso we put our hands uplike the ceiling can't hold uslike the ceiling can't hold uscan we go back? this is the momenttonight is the night, we'll fight 'til it's overso we put our hands uplike the ceiling can't hold uslike the ceiling can't hold usnow, can i kick it? thank youyeah, i'm so damn gratefuli grew up really wanting gold frontsbut that's what you get when wu-tang raised youy'all can't stop mego hard like i got a 808 in my heartbeatand i'm eating at the beat like you gave a little speedto a great white shark on shark week, raw!time to go off, i'm gonedeuces, goodbye, i got a world to seeand my girl, she wanna see romecaesar'll make you a believernah, i never ever did it for a thronethat validation comes from giving it back to the peoplenow sing a song, and it goes likeraise those hands, this is our partywe came here to live life like nobody was watchingi got my city right behind me, if i fall, they got melearn from that failure, gain humilityand then we keep marching, i said...can we go back? this is the momenttonight is the night, we'll fight 'til it's overso we put our hands uplike the ceiling can't hold uslike the ceiling can't hold uscan we go back? this is the momenttonight is the night, we'll fight 'til it's overso we put our hands uplike the ceiling can't hold uslike the ceiling can't hold usand so we put our hands upand so we put our hands upoh, oh, oh, oh (let's go)na na na na, na na na nahey-ee ay-ee ay-ee ay ay-ee ay-ee, heyand all my people sayna na na na, na na na nahey-ee ay-ee ay-ee ay ay-ee ay-ee, heyand all my people sayna na na na, na na na naoh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-ohand all my people sayna na na na, na na na namack-le-eh-eh-eh-eh-more!can we go back? this is the momenttonight is the night, we'll fight 'til it's overso we put our hands uplike the ceiling can't hold uslike the ceiling can't hold uscan we go back? this is the momenttonight is the night, we'll fight 'til it's overso we put our hands uplike the ceiling can't hold uslike the ceiling can't hold us",Happy
84,85,Hurts So Good,Astrid S,dance pop,2016,120,63,67,-5,9,42,209,8,5,69,"you're fighting me off like a firefighterso tell me why you still get burnedyou say you're not, but you're still a liar'cause i'm the one that you run to firstevery time, yeahwhy do you try to deny itwhen you show up every nightand tell me that you want me but it's complicatedso complicatedwhen it hurts but it hurts so gooddo you take it?do you break it off?when it hurts but it hurts so goodcan you say it?can you say it?your love is like (hey, na-na-na, na-na)your love is like (hey, na-na-na, na-na)it hurts so good (hey, na-na-na, na-na)your love is like (hey, na-na-na, na-na)it hurts so goodevery time that i swear it's overit makes you want me even moreyou pull away and i come in closerand all we ever stay is tornand baby, i don't knowwhy i try to deny itwhen you show up every nighti tell you that i want you but it's complicatedso complicatedwhen it hurts but it hurts so gooddo you take it?do you break it off?when it hurts but it hurts so goodcan you say it?can you say it?your love is like (hey, na-na-na, na-na)your love is like (hey, na-na-na, na-na)it hurts so good (hey, na-na-na, na-na)your love is like (hey, na-na-na, na-na)ooh, it hurts so goodwide awake through the daylightwill you hold me like we're running a yellow light?reach for you with my hands tiedare we dancing like we're burning in paradise?when it hurts but it hurts so gooddo you take it?do you break it off?when it hurts but it hurts so goodcan you say it?can you say it?your love is like (hey, na-na-na, na-na)your love is like (hey, na-na-na, na-na)ooh, it hurts so good (hey, na-na-na, na-na)your love is like (hey, na-na-na, na-na)it hurts so good",Sad
85,86,Five More Hours - Deorro x Chris Brown,Deorro,big room,2017,128,88,70,-3,82,50,212,3,22,69,"what you wanna do baby?where you wanna go?ill take you to the moon babyill take you to the floorill treat you like a real ladyno matter where you gojust give me some time babycos you know,even when we're apart i know my heart is still there with youfive more hours till the night is ours, and i'm in bed with youthis right here is my type of partyfive more hours we're just getting startedthis right here is my type of partyfive more hours we're just getting started(five more hours we're just getting started)how you wanna feel baby? what you wanna know?just pour another drink baby, come on pour a little morei'll treat you like a real lady, i'll keep you out the coldi'll give you all my time baby, you know even when we're aparti know my heart is still there with youfive more hours till the night is ours, and i'm in bed with youthis right here is my type of partyfive more hours we're just getting startedthis right here is my type of partyfive more hours we're just getting startedi follow the sound of your heartbeathow it always calls me, finding my way back to youi'm feeling it more now than everi'll do this forever, just to spend a night with youthis right here is my type of partyfive more hours we're just getting startedthis right here is my type of partyfive more hours we're just getting started",Sad
86,87,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,69,"hey, hey, hey, heyhey, hey, heyhey, hey, hey, heyhey, hey, heysimmer down, simmer downthey say we're too young now to amount to anything elsebut look aroundwe worked too damn hard for this just to give it up nowif you don't swim, you'll drownbut don't move, honeyyou look so perfect standing therein my american apparel underwearand i know now, that i'm so downyour lipstick stain is a work of arti got your name tattooed in an arrow heartand i know now, that i'm so downhey! hey, hey, hey, heyhey, hey, heylet's get out, let's get out'cause this deadbeat town's only here just to keep us downwhile i was out, i found myself alone just thinkingif i showed up with a plane ticketand a shiny diamond ring with your name on itwould you wanna run away too?'cause all i really want is youyou look so perfect standing therein my american apparel underwearand i know now, that i'm so downi made a mix-tape straight out of '94i've got your ripped skinny jeans lying on the floorand i know now, that i'm so downhey! hey, hey, hey heyhey, hey, hey, heyyou look so perfect standing therein my american apparel underwearand i know now, that i'm so downyour lipstick stain is a work of arti got your name tattooed in an arrow heartand i know now, that i'm so downhey! hey, hey, hey, heyhey, hey, hey, heyhey, hey, heyyou look so perfect standing therein my american apparel underwearand i know now, that i'm so down (hey!)your lipstick stain is a work of arti got your name tattooed in an arrow heartand i know now, that i'm so down",Happy
87,88,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,dance pop,2012,130,88,67,-3,26,55,195,6,4,69,"so many girls in here, where do i begin? (ohh)i seen this one, i'm 'bout to go in (ohh)then she said, i'm here with my friends (ohh)she got me thinking and that's when i saidwhere them girls at, girls at? (woo)where them girls at, girls at? (woo-ooh)where them girls at, girls at? (woo)so go get them, we can all be friends (woo-ooh)hey, bring it on, baby, all your friendsyou're the shit and i love that body (body)you wanna ball, let's mix iti swear you're good, i won't tell nobody ('body)you got a bff, i wanna see that girl, it's all women invited ('vited)hair do's and nails, that louis, chanel all up in the party(need some help) president's in my wallet(freak yourself) no rules i'm 'bout it(play the ref) blow the whistle for the hotties(catch my breath) ha, i got itshawty, it's never too much, can't be doing too muchten to one of me, i can handle that lovebottles in my reach, we can all get buzzholla 'cause i'm free to whatever, it's no rushso many boys in here, where do i begin? (ohh)i seen this one, i'm 'bout to go in (ohh)then he said, ""i'm here with my friends"" (ohh)he got to thinking and that's when he saidwhere them girls at, girls at? (woo)where them girls at, girls at? (woo-ooh)where them girls at, girls at? (woo)so go get them, we can all be friends (woo-ooh) (uh, yo)it's pb, pb, who's peabo bryson?two years ago i renewed my licenseanyway, why'd i start my verse like that?you can suck a dick or you can suck on a ballsackno, no i don't endorse that, pause that, abort thatjust the other day me go a london, saw thatkids inna di street, paparazzi, all thathey, hey, what can i say?day, da-da-day, da-da-day-day-daycoming through the club all the girls in the back of methis ain't football, why the fuck they tryna tackle me?really, i peeped dude at the bar like reallylooking like he wanna good time like reallysaid he got a friend for my homegirl lilly, lilly, lilly, lillyso many girls in here, where do i begin? (ohh)i seen this one, i'm 'bout to go in (ohh)then she said, i'm here with my friends (ohh)she got me thinking and that's when i saidwhere them girls at, girls at? (woo)where them girls at, girls at? (woo-ooh)where them girls at, girls at? (woo)so go get them, we can all be friends (woo-ooh)day, day, day-da-day-dayday, da-da-day, da-da-day-day-dayday, day, day-da-day-dayday, da-da-day, da-da-day-day-dayyo, where my girls at, uh, mmh, uhyo, where my girls that's tryna ge-get this jumpin'jumpin', jumpin'so many girls in here, where do i begin? (ohh)i seen this one, i'm 'bout to go in (ohh)then she said, i'm here with my friends (ohh)she got me thinking and that's when i saidwhere them girls at, girls at? (woo)where them girls at, girls at? (woo-ooh)where them girls at, girls at? (woo)so go get them, we can all be friends (woo-ooh)",Sad
88,89,Mama,Jonas Blue,dance pop,2017,104,79,74,-4,5,54,184,10,4,68,"where should we run to?we got the world in our hands and we're ready to playthey say we're wastedbut how can we waste it if we're loving every day?okay, i got the keys to the universeso stay with me'cause i got the keys, babydon't wanna wake up one day wishing that we'd done morei wanna live fast and never look back, that's what we're here fordon't wanna wake up one day, wondering, ""where'd it all go?""'cause we'll be home before we know, i wanna hear you sing ithey, mama, don't stress your mindwe ain't coming home tonighthey, mama, we gonna be alrightdry those eyeswe'll be back in the morning when the sun starts to riseso mama, don't stress your mindso mama, don't stress your mindmama, mama, mama, heywe ain't coming home tonightmama, mama, mama, heywe ain't coming home tonightwhere should we run to?we got a ticket that takes us wherever we likewe got our problemsbut just for the minute, let's push all our troubles asidealright, 'cause we got the keys to the universeinside our minds, yeah, we got the keys, babydon't wanna wake up one day wishing that we'd done morei wanna live fast and never look back, that's what we're here fordon't wanna wake up one day wondering, ""where'd it all go?""'cause we'll be home before we know, i wanna hear you sing ithey, mama, don't stress your mindwe ain't coming home tonighthey, mama, we gonna be alrightdry those eyeswe'll be back in the morning when the sun starts to riseso mama, don't stress your mindso mama, don't stress your mind (don't stress your mind)hey, mama, don't stress your mindwe ain't coming home tonight (oh)hey, mama, we gonna be alrightdry those eyeswe'll be back in the morning when the sun starts to riseso mama, don't stress your mindso mama, don't stress your mindmama, mama, mama, heywe ain't coming home tonightmama, mama, mama, heywe ain't coming home tonight",Sad
89,90,Don't Leave,Snakehips,dance pop,2017,122,70,66,-3,26,34,215,22,8,68,"you know menow and then, i'm a messplease don't hold that against mei'm a girl with a temper and heati know i can be crazybut i'm not just a fuck-up, i'm the fuck-up you needi don't hear nobody when you focus on meperfectly imperfect, yeah, i hope that you seetell me you see'cause i know that you've been thinking 'bout itdon't leaveshut your mind off and let your heart breatheyou don't need to be worriedi may not ever get my shit togetherbut ain't nobody gonna love you betterdon't gowhat we have here is irreplaceableno, i won't trade this for nothingi may not ever get my shit togetherbut ain't nobody gonna love you better than me, yeahlove you better than mein a room full of people with youi don't see anybody else, nowhen we fight, and you're rightso sorry, i make it just so difficultbut i'm not just a fuck-up, i'm the fuck-up you lovewe ain't like nobody else, tell me so whatperfectly imperfect, yeah, baby, that's usbaby, that's us'cause i know that you've been thinking 'bout itdon't leaveshut your mind off and let your heart breatheyou don't need to be worriedi may not ever get my shit togetherbut ain't nobody gonna love you betterdon't gowhat we have here is irreplaceableno, i won't trade this for nothingi may not ever get my shit togetherbut ain't nobody gonna love you bettersitting in the living roomyou look at me, i stare at youi see the doubt, i see the lovei have and it is all for youlet me wrap myself around you, babylet me tell you you are everything, you arelosing my words, i don't know where to startbut baby, don't leave meshut your mind off and let your heart hear mei won't trade this for nothingi may not ever get my shit togetherbut ain't nobody gonna love you betterdon't leaveshut your mind off and let your heart breatheyou don't need to be worriedi may not ever get my shit togetherbut ain't nobody gonna love you better(there ain't nobody gonna love you better than me)don't gowhat we have here is irreplaceableno, i won't trade this for nothingi may not ever get my shit togetherbut ain't nobody gonna love you better than me, yeahlove you better than me",Sad
90,91,Drag Me Down,One Direction,boy band,2015,138,71,72,-6,5,61,192,10,4,68,"i've got fire for a hearti'm not scared of the darkyou've never seen it look so easyi got a river for a souland baby, you're a boatbaby, you're my only reasonif i didn't have you, there would be nothing leftthe shell of a man that could never be his bestif i didn't have you, i'd never see the sunyou taught me how to be someone, yeahall my life, you stood by mewhen no one else was ever behind meall these lights, they can't blind mewith your love, nobody can drag me downall my life, you stood by mewhen no one else was ever behind meall these lights, they can't blind mewith your love, nobody can drag me downnobody, nobodynobody can drag me downnobody, nobodynobody can drag me downi got fire for a hearti'm not scared of the darkyou've never seen it look so easyi got a river for a souland baby, you're a boatbaby, you're my only reasonif i didn't have you there would be nothing left (nothing left)the shell of a man who could never be his best (be his best)if i didn't have you, i'd never see the sun (see the sun)you taught me how to be someone, yeahall my life, you stood by mewhen no one else was ever behind meall these lights, they can't blind mewith your love, nobody can drag me downnobody, nobodynobody can drag me downnobody, nobodynobody can drag meall my life, you stood by mewhen no one else was ever behind meall these lights, they can't blind mewith your love, nobody can drag me downall my life, you stood by mewhen no one else was ever behind meall these lights, they can't blind mewith your love, nobody can drag me downnobody, nobodynobody can drag me down (yeah)nobody, nobodynobody can drag me downnobody, nobodynobody can drag me downnobody, nobodynobody can drag me down",Happy
91,92,The One That Got Away,Katy Perry,dance pop,2010,134,80,69,-4,16,88,227,0,4,66,"you know it's crazy, 'cause nights like thiswould start out with a little private partyyou sneak me in your mom's housei know i mighta spilled my drink, butreally wasn't tryin' to spill my heart outi mean it started as a conversationi was really tryin' to get my thoughts outbut then we make moves and we make planshad the whole thing mapped outsee, you were gonna go to collegeand to pay for bills i'd figure the job outand you knew i had to say it, but them day's gonenow i moved on and you switched phoneshopefully reincarnation will bring us back to the place we belongsummer after high school when we first metwe make out in your mustang to radioheadand on my 18th birthday we got matching tattoosused to steal your parents' liquor and climb to the rooftalk about our future like we had a cluenever planned that one day, i'd be losing youin another lifei would be your girlwe keep all our promisesbe us against the worldin another lifei would make you stayso i don't have to sayyou were the one that got awaythe one that got awayi was june and you were my johnny cashnever one without the other we made a pactsometimes when i miss youi put those records onsomeone said you had your tattoo removedsaw you downtown singing the bluesits time to face the musici'm no longer your musein another lifei would be your girlwe keep all our promisesbe us against the worldin another lifei would make you stayso i don't have to sayyou were the one that got awaythe one that got awaythe o-o-o-o-o-onethe o-o-o-o-o-onethe o-o-o-o-o-onethe one that got awayi'm falling for you like dominoesfrom the top of the hundredth floorlook out below geronimotryin' to get behind the closed doors to your soulwhy'd you have to end the showwe had such a beautiful plotthere was still more story to gonow look, i'm not insinuating thatyou're some type of fair weather playerbut even if the whole world falls overi wouldn't be aware of a glacieri just wanna see you wake updoing your hair in the mirror with your makeupthen, maybe in the next lifetime we could make upin another lifei would be your girlwe keep all our promisesbe us against the worldin another lifei would make you stayso i don't have to sayyou were the one that got awaythe one that got awaythe o-o-o-o-o-onethe o-o-o-o-o-onethe o-o-o-o-o-onein another lifei would make you stayso i don't have to sayyou were the one that got awaythe one that got away",Sad
92,93,Shed a Light,Robin Schulz,dance pop,2016,122,79,48,-5,26,58,191,11,10,65,"don't leave me here in the dark when it's hard to seeshow me your heart, shed a light on meif you love me, say so, if you love me, say so (so, so, so)you know i can't live without you, i'm on my kneeswhere are you now? shed a light on meif you love me, say so, if you love me, say so (so, so, so)shed a lightshed a light (on me)shed a light...why when i call, you never answer?i try to talk, you keep on dancingi can feel you on my skin, but am i only dancing with the wind?and i know you don't owe me your loveand i know that you don't owe me nothing at allain't no way i'm giving up on youdon't leave me here in the dark when it's hard to seeshow me your heart, shed a light on meif you love me, say so, if you love me, say so (so, so, so)you know i can't live without you, i'm on my kneeswhere are you now? shed a light on meif you love me, say so, if you love me, say so (so, so, so)shed a lightshed a light (on me)shed a light...shed a lightshed a light (on me)shed a light... (so, so, so)",Sad
93,94,Sex,Cheat Codes,dance pop,2016,105,69,60,-6,13,19,228,0,16,60,"that was unforgettablei wanna do it againyou're crazy like an animaland i don't want it to endtell me all your dreams and darkest fantasieslet's talk about sex, babylet's talk about you and melet's talk about all the good thingsand the bad things that may belet's talk about sex, babylet's talk about you and melet's talk about all the good thingsand the bad things that may belet's talk about sexthat was unbelievablei wanna do it againi'll eat you like a cannibalyou're sweet like cinnamontell me all your dreams and darkest fantasieslet's talk about sex, babylet's talk about you and melet's talk about all the good thingsand the bad things that may belet's talk about sex, babylet's talk about you and melet's talk about all the good thingsand the bad things that may belet's talk about sexlet's talk about sex, babylet's talk about you and melet's talk about all the good thingsand the bad things that may belet's talk about sex, babylet's talk about you and melet's talk about all the good thingsand the bad things that may belet's talk about sexany way you want it, you can have ittalk about sex, babydo it on the counter, we'll fuck for hourslet's talk about sexany way you want it, you can have ittalk about sex, babydo it in the shower, pussy powerlet's talk about sex, babylet's talk about sex, babylet's talk about you and melet's talk about all the good thingsand the bad things that may belet's talk about sex, babylet's talk about you and melet's talk about all the good thingsand the bad things that may belet's talk about sex",Sad
94,95,Call on Me - Ryan Riback Remix,Starley,aussietronica,2016,105,84,67,-4,16,72,222,6,4,58,"when you're lowand your knees can't riseyou feel helplessand you're looking to the skysome people would sayto accept defeatwell, if this is fatethen we'll find a way to cheat'cause, oh, oh, oh, oh we'll say a little prayerbut, oh, oh, oh, oh if the answer isn't fairyou know you can call on mewhen you need somebodyyou know you can call on mewhen you can't stop the tears from falling down...(down)you know you can call on mecall on me, darlingyou know you can call on mewhen you can't stop the tears from falling down...when you're wearyand the road is darkand i'll guide youwith the beating of my heartand if the calvaryand the help don't comewell, then we'll find a wayto dodge a smoking gun'cause, oh, oh, oh, oh we'll say a little prayerbut, oh, oh, oh, oh if the answer isn't fair (then call on me)you know you can call on mewhen you need somebodyyou know you can call on mewhen you can't stop the tears from falling down...you know you can call on mecall on me, darlingyou know you can call on mewhen you can't stop the tears from falling down...when you, you need someone (just call on me)you need somebody to cling to (call on me)when you, you need someone (just call on me)you need somebody to dry your tearswhen you, you need someone (you can call me)you need somebody to cling to (just call on me)just call on me, love (just call on me)call on me, just call on me...",Sad
